title	imdbId	fRatings	mRatings	Ratio	Gender_Ratio
Batman: Assault on Arkham (2014)	3139086	1	24	0.04	0.09090909091
The Pacific (2010)	374463	1	24	0.04	0.09090909091
Stone (2010)	1423995	2	47	0.04081632653	0.09276437848
Split Second (1992)	105459	3	69	0.04166666667	0.0946969697
Crimewave (1985)	88967	1	23	0.04166666667	0.0946969697
Morituri (1965)	59470	1	23	0.04166666667	0.0946969697
Hollow Man II (2006)	469916	1	23	0.04166666667	0.0946969697
Maniac Cop (1988)	95583	1	23	0.04166666667	0.0946969697
Five Graves to Cairo (1943)	35884	1	23	0.04166666667	0.0946969697
Killing Season (2013)	1480295	1	23	0.04166666667	0.0946969697
Clear History (2013)	2380408	1	23	0.04166666667	0.0946969697
Ain't Them Bodies Saints (2013)	2388637	1	23	0.04166666667	0.0946969697
Justice League: War (2014)	3060952	1	23	0.04166666667	0.0946969697
Child 44 (2015)	1014763	1	23	0.04166666667	0.0946969697
Pawn Sacrifice (2015)	1596345	1	23	0.04166666667	0.0946969697
The Ridiculous 6 (2015)	2479478	1	23	0.04166666667	0.0946969697
Lessons of Darkness (Lektionen in Finsternis) (1992)	104706	2	45	0.04255319149	0.09671179884
Autómata (Automata) (2014)	1971325	2	45	0.04255319149	0.09671179884
Lone Survivor (2013)	1091191	5	111	0.04310344828	0.09796238245
Predators (2010)	1424381	9	198	0.04347826087	0.09881422925
Blood of Heroes, The (Salute of the Jugger, The) (1989)	94764	2	44	0.04347826087	0.09881422925
Hardware (1990)	99740	2	44	0.04347826087	0.09881422925
Zero Theorem, The (2013)	2333804	2	44	0.04347826087	0.09881422925
Jodorowsky's Dune (2013)	1935156	2	44	0.04347826087	0.09881422925
Medea (1970)	66065	1	22	0.04347826087	0.09881422925
3 Godfathers (1948)	40064	1	22	0.04347826087	0.09881422925
Cathedral, The (Katedra) (2002)	351167	1	22	0.04347826087	0.09881422925
End of the Century: The Story of the Ramones (2003)	368711	1	22	0.04347826087	0.09881422925
Leprechaun 2 (1994)	110329	1	22	0.04347826087	0.09881422925
Grand, The (2007)	427998	1	22	0.04347826087	0.09881422925
Wanted (2009)	1084972	1	22	0.04347826087	0.09881422925
Pearl Jam Twenty (2011)	1417592	1	22	0.04347826087	0.09881422925
Piranha 3DD (a.k.a. Piranha DD) (2012)	1714203	1	22	0.04347826087	0.09881422925
Stretch (2014)	2494280	1	22	0.04347826087	0.09881422925
Poltergeist (2015)	1029360	1	22	0.04347826087	0.09881422925
Batman: The Killing Joke (2016)	4853102	1	22	0.04347826087	0.09881422925
Edge of Darkness (2010)	1226273	6	131	0.04379562044	0.099535501
The Nice Guys (2016)	3799694	3	65	0.04411764706	0.1002673797
Ong-Bak 2: The Beginning (Ong Bak 2) (2008)	785035	2	43	0.04444444444	0.101010101
Act of Valor (2012)	1591479	2	43	0.04444444444	0.101010101
Pusher II: With Blood on My Hands (2004)	396184	2	42	0.04545454545	0.1033057851
Escapist, The (2008)	961728	2	42	0.04545454545	0.1033057851
Lesbian Vampire Killers (2009)	1020885	2	42	0.04545454545	0.1033057851
Man with the Iron Fists, The (2012)	1258972	2	42	0.04545454545	0.1033057851
Twelve Tasks of Asterix, The (Les douze travaux d'Astérix) (1976)	72901	1	21	0.04545454545	0.1033057851
Outpost (2008)	892899	1	21	0.04545454545	0.1033057851
Flesh Gordon (1974)	68595	1	21	0.04545454545	0.1033057851
Steamroller and the Violin, The (Katok i skripka) (1961)	53987	1	21	0.04545454545	0.1033057851
Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)	996966	1	21	0.04545454545	0.1033057851
Cheap Thrills (2013)	2389182	1	21	0.04545454545	0.1033057851
Le Week-End (2013)	2392326	1	21	0.04545454545	0.1033057851
Frequencies (2013)	2414766	1	21	0.04545454545	0.1033057851
Deliver Us from Evil (2014)	2377322	1	21	0.04545454545	0.1033057851
SpongeBob Movie: Sponge Out of Water, The (2015)	2279373	1	21	0.04545454545	0.1033057851
Robinson Crusoe on Mars (1964)	58530	2	41	0.04651162791	0.1057082452
Machine, The (2013)	2317225	2	41	0.04651162791	0.1057082452
Alone in the Wilderness (2004)	437806	2	40	0.04761904762	0.1082251082
Turbo (2013)	1860353	2	40	0.04761904762	0.1082251082
Prize, The (1963)	57426	1	20	0.04761904762	0.1082251082
Major Dundee (1965)	59418	1	20	0.04761904762	0.1082251082
Reflecting Skin, The (1990)	100469	1	20	0.04761904762	0.1082251082
Run Ronnie Run (2002)	258100	1	20	0.04761904762	0.1082251082
Hell House (2001)	301235	1	20	0.04761904762	0.1082251082
Long Voyage Home, The (1940)	32728	1	20	0.04761904762	0.1082251082
Posto, Il (1961)	55320	1	20	0.04761904762	0.1082251082
Children, The (2008)	1172571	1	20	0.04761904762	0.1082251082
Heartless (2009)	1220214	1	20	0.04761904762	0.1082251082
Bellflower (2011)	1242599	1	20	0.04761904762	0.1082251082
Happy Feet Two (2011)	1402488	1	20	0.04761904762	0.1082251082
Superman vs. The Elite (2012)	2224455	1	20	0.04761904762	0.1082251082
Free Birds (2013)	1621039	1	20	0.04761904762	0.1082251082
Paranormal Activity: The Marked Ones (2014)	2473682	1	20	0.04761904762	0.1082251082
Tracks (2013)	2167266	1	20	0.04761904762	0.1082251082
Housebound (2014)	3504048	1	20	0.04761904762	0.1082251082
Hot Girls Wanted (2015)	4382552	1	20	0.04761904762	0.1082251082
Hardcore (2015)	3072482	1	20	0.04761904762	0.1082251082
No Holds Barred (1989)	97987	6	119	0.048	0.1090909091
Mechanic, The (2011)	472399	6	117	0.0487804878	0.110864745
MacGruber (2010)	1470023	4	77	0.04938271605	0.1122334456
Europa Report (2013)	2051879	4	77	0.04938271605	0.1122334456
Super (2010)	1512235	5	95	0.05	0.1136363636
Green Berets, The (1968)	63035	2	38	0.05	0.1136363636
Lone Wolf and Cub: Baby Cart to Hades (Kozure Ôkami: Shinikazeni mukau ubaguruma) (1972)	68817	2	38	0.05	0.1136363636
Cargo (2009)	381940	2	38	0.05	0.1136363636
Grandmaster, The (Yi dai zong shi) (2013)	1462900	2	38	0.05	0.1136363636
Homefront (2013)	2312718	2	38	0.05	0.1136363636
Isle of the Dead (1945)	37820	1	19	0.05	0.1136363636
Race for Your Life, Charlie Brown (1977)	76591	1	19	0.05	0.1136363636
Troll (1986)	92115	1	19	0.05	0.1136363636
Killer Elite, The (1975)	73240	1	19	0.05	0.1136363636
Maradona by Kusturica (2008)	454976	1	19	0.05	0.1136363636
Mr. Warmth: The Don Rickles Project (2007)	949815	1	19	0.05	0.1136363636
Wicked City (Yôjû toshi) (1987)	98692	1	19	0.05	0.1136363636
Shut Up and Play the Hits (2012)	2124908	1	19	0.05	0.1136363636
Touch of Sin, A (Tian zhu ding) (2013)	2852400	1	19	0.05	0.1136363636
Wish I Was Here (2014)	2870708	1	19	0.05	0.1136363636
Stonehearst Asylum (2014)	1772264	1	19	0.05	0.1136363636
Scouts Guide to the Zombie Apocalypse (2015)	1727776	1	19	0.05	0.1136363636
First Snow (2006)	432289	2	37	0.05128205128	0.1165501166
Family Guy Presents: It's a Trap (2010)	1701991	2	37	0.05128205128	0.1165501166
Toy Story of Terror (2013)	2446040	2	37	0.05128205128	0.1165501166
Holy Motors (2012)	2076220	3	55	0.05172413793	0.1175548589
East, The (2013)	1869716	3	55	0.05172413793	0.1175548589
Fire and Ice (1983)	85542	3	54	0.05263157895	0.1196172249
Breakout (1975)	72737	2	36	0.05263157895	0.1196172249
Hot Tub Time Machine 2 (2015)	2637294	2	36	0.05263157895	0.1196172249
Walk Among the Tombstones, A (2014)	365907	3	53	0.05357142857	0.1217532468
Devil's Brigade, The (1968)	62886	8	141	0.05369127517	0.1220256254
Babylon 5: The Legend of the Rangers: To Live and Die in Starlight (2002)	280453	2	35	0.05405405405	0.1228501229
Oldboy (2013)	1321511	2	35	0.05405405405	0.1228501229
Equalizer, The (2014)	455944	7	121	0.0546875	0.1242897727
Escape Plan (2013)	1211956	5	85	0.05555555556	0.1262626263
Splinter (2008)	1031280	3	51	0.05555555556	0.1262626263
12 Rounds (2009)	1160368	2	34	0.05555555556	0.1262626263
Monsters vs Aliens: Mutant Pumpkins from Outer Space (2009)	1482967	2	34	0.05555555556	0.1262626263
Indie Game: The Movie (2012)	1942884	2	34	0.05555555556	0.1262626263
Battle Creek Brawl (Big Brawl, The) (1980)	80436	4	67	0.05633802817	0.1280409731
Enemy (2013)	2316411	4	67	0.05633802817	0.1280409731
Cross of Iron (1977)	74695	13	217	0.05652173913	0.128458498
Terminator Genisys (2015)	1340138	7	116	0.05691056911	0.1293422025
Old Joy (2006)	468526	2	33	0.05714285714	0.1298701299
loudQUIETloud: A Film About the Pixies (2006)	449121	2	33	0.05714285714	0.1298701299
Blended (2014)	1086772	2	33	0.05714285714	0.1298701299
Youth (2015)	3312830	2	33	0.05714285714	0.1298701299
Ip Man (2008)	1220719	10	164	0.05747126437	0.1306165099
Bangkok Dangerous (2008)	814022	5	82	0.05747126437	0.1306165099
Last Stand, The (2013)	1549920	5	82	0.05747126437	0.1306165099
Troll Hunter, The (Trolljegeren) (2010)	1740707	6	98	0.05769230769	0.1311188811
Wizards (1977)	76929	3	49	0.05769230769	0.1311188811
The Drop (2014)	1600196	4	65	0.05797101449	0.1317523057
RoboCop (2014)	1234721	8	129	0.05839416058	0.1327140013
The Walk (2015)	3488710	3	48	0.05882352941	0.1336898396
Descent: Part 2, The (2009)	1073105	2	32	0.05882352941	0.1336898396
George Harrison: Living in the Material World (2011)	1113829	2	32	0.05882352941	0.1336898396
Red Lights (2012)	1748179	2	32	0.05882352941	0.1336898396
Limits of Control, The (2009)	1135092	3	47	0.06	0.1363636364
Jackass 2.5 (2007)	1117523	3	47	0.06	0.1363636364
Dilemma, The (2011)	1578275	3	47	0.06	0.1363636364
John Dies at the End (2012)	1783732	3	47	0.06	0.1363636364
Stranger Things	4574334	3	47	0.06	0.1363636364
Death Race (2008)	452608	13	203	0.06018518519	0.1367845118
Crank: High Voltage (2009)	1121931	10	156	0.06024096386	0.1369112815
Out for Justice (1991)	102614	2	31	0.06060606061	0.1377410468
Who Am I? (Wo shi shei) (1998)	127357	2	31	0.06060606061	0.1377410468
Trailer Park Boys: The Movie (2006)	425601	2	31	0.06060606061	0.1377410468
Pusher III: I'm the Angel of Death (2005)	425379	2	31	0.06060606061	0.1377410468
In the Heart of the Sea (2015)	1390411	2	31	0.06060606061	0.1377410468
13 Assassins (Jûsan-nin no shikaku) (2010)	1436045	6	92	0.0612244898	0.1391465677
Hammer, The (2007)	814130	3	46	0.0612244898	0.1391465677
Invasion U.S.A. (1985)	89348	7	107	0.06140350877	0.139553429
Jonah Hex (2010)	1075747	4	61	0.06153846154	0.1398601399
Man on a Ledge (2012)	1568338	5	76	0.06172839506	0.140291807
Transformers: Age of Extinction (2014)	2109248	6	91	0.0618556701	0.1405810684
Safe House (2012)	1599348	8	120	0.0625	0.1420454545
Starship Troopers 2: Hero of the Federation (2004)	367093	4	60	0.0625	0.1420454545
D-War (Dragon Wars) (2007)	372873	4	60	0.0625	0.1420454545
Kon-Tiki (2012)	1613750	3	45	0.0625	0.1420454545
Call of Cthulhu, The (2005)	478988	2	30	0.0625	0.1420454545
Hellsing Ultimate OVA Series (2006)	495212	2	30	0.0625	0.1420454545
Marley (2012)	1183919	2	30	0.0625	0.1420454545
Chappie (2015)	1823672	7	104	0.06306306306	0.1433251433
Teenage Mutant Ninja Turtles (2014)	1291150	5	74	0.06329113924	0.1438434983
Missing in Action 2: The Beginning (1985)	89604	22	325	0.06340057637	0.144092219
Year of the Dragon (1985)	90350	4	59	0.06349206349	0.1443001443
The Jungle Book (2016)	3040964	4	59	0.06349206349	0.1443001443
Jackass 3D (2010)	1116184	7	103	0.06363636364	0.1446280992
Joe Strummer: The Future Is Unwritten (2007)	800099	3	44	0.06382978723	0.1450676983
Casino Jack (2010)	1194417	3	44	0.06382978723	0.1450676983
Best of the Best (1989)	96913	11	161	0.06395348837	0.1453488372
Sacrifice, The (Offret - Sacraficatio) (1986)	91670	4	58	0.06451612903	0.146627566
Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo) (2007)	923811	4	58	0.06451612903	0.146627566
Incredible Burt Wonderstone, The (2013)	790628	4	58	0.06451612903	0.146627566
Detective Story (1951)	43465	2	29	0.06451612903	0.146627566
Lone Wolf and Cub: Baby Cart in Peril (Kozure Ôkami: Oya no kokoro ko no kokoro) (1972)	143348	2	29	0.06451612903	0.146627566
Union: The Business Behind Getting High, The (2007)	1039647	2	29	0.06451612903	0.146627566
Devil's Double, The (2011)	1270262	2	29	0.06451612903	0.146627566
Sightseers (2012)	2023690	2	29	0.06451612903	0.146627566
Last Days on Mars, The (2013)	1709143	2	29	0.06451612903	0.146627566
Broken City (2013)	1235522	3	43	0.0652173913	0.1482213439
Project X (2012)	1636826	4	57	0.06557377049	0.1490312966
Batman: The Dark Knight Returns, Part 2 (2013)	2166834	6	84	0.06666666667	0.1515151515
Faster (2010)	1433108	4	56	0.06666666667	0.1515151515
Zeitgeist: Addendum (2008)	1332128	3	42	0.06666666667	0.1515151515
Troll 2 (1990)	105643	3	42	0.06666666667	0.1515151515
Ricky Gervais Live 2: Politics (2004)	439784	3	42	0.06666666667	0.1515151515
Adventure of Sherlock Holmes' Smarter Brother, The (1975)	72608	2	28	0.06666666667	0.1515151515
Day After, The (1983)	85404	2	28	0.06666666667	0.1515151515
Police Story 2 (Ging chaat goo si juk jaap) (1988)	95403	2	28	0.06666666667	0.1515151515
Fay Grim (2006)	444628	2	28	0.06666666667	0.1515151515
Castaway (1986)	92732	2	28	0.06666666667	0.1515151515
Ai Weiwei: Never Sorry (2012)	1845773	2	28	0.06666666667	0.1515151515
Honest Liar, An (2014)	2246565	2	28	0.06666666667	0.1515151515
Bone Tomahawk (2015)	2494362	2	28	0.06666666667	0.1515151515
Killing Them Softly (2012)	1764234	7	97	0.06730769231	0.152972028
Eagle, The (2011)	1034389	4	55	0.06779661017	0.1540832049
Lone Wolf and Cub: Sword of Vengeance (Kozure Ôkami: Kowokashi udekashi tsukamatsuru) (1972)	68815	3	41	0.06818181818	0.1549586777
In the Name of the King: A Dungeon Siege Tale (2008)	460780	5	68	0.06849315068	0.1556662516
Batman: Gotham Knight (2008)	1117563	5	68	0.06849315068	0.1556662516
Brooklyn's Finest (2010)	1210042	5	68	0.06849315068	0.1556662516
Taken 3 (2015)	2446042	5	68	0.06849315068	0.1556662516
Battle Beyond the Stars (1980)	80421	12	163	0.06857142857	0.1558441558
Vampyr (1932)	23649	4	54	0.06896551724	0.1567398119
JLG/JLG (JLG/JLG - autoportrait de décembre) (1994)	110173	2	27	0.06896551724	0.1567398119
Threads (1984)	90163	2	27	0.06896551724	0.1567398119
Alex Cross (2012)	1712170	2	27	0.06896551724	0.1567398119
Trip to Italy, The (2014)	2967006	2	27	0.06896551724	0.1567398119
Homesman, The (2014)	2398231	2	27	0.06896551724	0.1567398119
Water Diviner, The (2014)	3007512	2	27	0.06896551724	0.1567398119
Enter the Void (2009)	1191111	6	80	0.06976744186	0.1585623679
Ip Man 2 (2010)	1386932	6	80	0.06976744186	0.1585623679
Great Silence, The (Grande silenzio, Il) (1969)	63032	3	40	0.06976744186	0.1585623679
Best Offer, The (Migliore offerta, La) (2013)	1924396	3	40	0.06976744186	0.1585623679
Alan Partridge: Alpha Papa (2013)	469021	3	40	0.06976744186	0.1585623679
Frozen Ground, The (2013)	2005374	3	40	0.06976744186	0.1585623679
Need for Speed (2014)	2369135	3	40	0.06976744186	0.1585623679
Where Eagles Dare (1968)	65207	20	265	0.0701754386	0.1594896332
My Name Is Bruce (2007)	489235	4	53	0.0701754386	0.1594896332
Parker (2013)	1904996	4	53	0.0701754386	0.1594896332
36th Chamber of Shaolin, The (Shao Lin san shi liu fang) (Master Killer) (1978)	78243	5	66	0.07042253521	0.1600512164
Duck, You Sucker (1971)	67140	6	79	0.07058823529	0.1604278075
Red Heat (1988)	95963	30	394	0.07075471698	0.160806175
Battle: Los Angeles (2011)	1217613	13	169	0.07142857143	0.1623376623
Thing, The (2011)	905372	6	78	0.07142857143	0.1623376623
Fortress (1992)	106950	5	65	0.07142857143	0.1623376623
Pusher (1996)	117407	5	65	0.07142857143	0.1623376623
Diary of the Dead (2007)	848557	5	65	0.07142857143	0.1623376623
What Just Happened (2008)	486674	4	52	0.07142857143	0.1623376623
Red (2008)	972883	3	39	0.07142857143	0.1623376623
Red Riding: 1983 (2009)	1259573	3	39	0.07142857143	0.1623376623
V/H/S (2012)	2105044	3	39	0.07142857143	0.1623376623
Planes (2013)	1691917	3	39	0.07142857143	0.1623376623
Purge: Anarchy, The (2014)	2975578	3	39	0.07142857143	0.1623376623
Island of Lost Souls (1932)	24188	2	26	0.07142857143	0.1623376623
The Odyssey (1997)	118414	2	26	0.07142857143	0.1623376623
Mad Love (1935)	26663	2	26	0.07142857143	0.1623376623
Double, The (2011)	1646980	2	26	0.07142857143	0.1623376623
Three Stooges, The (2012)	383010	2	26	0.07142857143	0.1623376623
Walk of Shame (2014)	2463288	2	26	0.07142857143	0.1623376623
Tale of Princess Kaguya, The (Kaguyahime no monogatari) (2013)	2576852	2	26	0.07142857143	0.1623376623
Big Game (2014)	2088003	2	26	0.07142857143	0.1623376623
Raw Deal (1986)	91828	8	103	0.07207207207	0.1638001638
Riddick (2013)	1411250	7	90	0.07216494845	0.1640112465
Fantastic Four (2015)	1502712	5	64	0.07246376812	0.1646903821
Fury (2014)	2713180	13	166	0.07262569832	0.1650584053
Ninja Assassin (2009)	1186367	8	102	0.07272727273	0.1652892562
[REC]² (2009)	1245112	4	51	0.07272727273	0.1652892562
Jobs (2013)	2357129	4	51	0.07272727273	0.1652892562
Bronson (2009)	1172570	6	76	0.07317073171	0.1662971175
Jerry and Tom (1998)	120867	3	38	0.07317073171	0.1662971175
You're Next (2011)	1853739	3	38	0.07317073171	0.1662971175
War (2007)	499556	8	101	0.07339449541	0.1668056714
Underworld: Awakening (2012)	1496025	7	88	0.07368421053	0.1674641148
White Diamond, The (2004)	435776	2	25	0.07407407407	0.1683501684
I Want Someone to Eat Cheese With (2006)	391229	2	25	0.07407407407	0.1683501684
Gamers, The: Dorkness Rising (2008)	447166	2	25	0.07407407407	0.1683501684
Visioneers (2008)	833557	2	25	0.07407407407	0.1683501684
Zeitgeist: Moving Forward (2011)	1781069	2	25	0.07407407407	0.1683501684
Room 237 (2012)	2085910	2	25	0.07407407407	0.1683501684
Wolf Children (Okami kodomo no ame to yuki) (2012)	2140203	2	25	0.07407407407	0.1683501684
Goosebumps (2015)	1051904	2	25	0.07407407407	0.1683501684
The 5th Wave (2016)	2304933	2	25	0.07407407407	0.1683501684
London Has Fallen (2016)	3300542	2	25	0.07407407407	0.1683501684
Piranha (Piranha 3D) (2010)	464154	7	87	0.07446808511	0.169245648
Warriors, The (1979)	80120	19	236	0.07450980392	0.1693404635
Braddock: Missing in Action III (1988)	94792	20	248	0.07462686567	0.1696065129
Punisher, The (1989)	98141	20	248	0.07462686567	0.1696065129
Speed Racer (2008)	811080	13	161	0.07471264368	0.1698014629
Double Dragon (1994)	106761	3	37	0.075	0.1704545455
Power of Nightmares, The: The Rise of the Politics of Fear (2004)	430484	3	37	0.075	0.1704545455
AVPR: Aliens vs. Predator - Requiem (2007)	758730	16	197	0.07511737089	0.1707212975
300: Rise of an Empire (2014)	1253863	8	98	0.07547169811	0.1715265866
Blood: The Last Vampire (2000)	275230	4	49	0.07547169811	0.1715265866
Winnebago Man (2009)	1396557	4	49	0.07547169811	0.1715265866
Conan O'Brien Can't Stop (2011)	1864288	4	49	0.07547169811	0.1715265866
Everest (2015)	2719848	4	49	0.07547169811	0.1715265866
Felon (2008)	1117385	10	122	0.07575757576	0.1721763085
Predestination (2014)	2397535	11	134	0.07586206897	0.1724137931
Death Warrant (1990)	99385	6	73	0.07594936709	0.1726121979
Tyson (2008)	1032821	7	85	0.07608695652	0.1729249012
Bat*21 (1988)	94712	15	182	0.07614213198	0.1730503
